Kernel initial value: 96547.000000
0.000000 	 5571.000000
0.010000 	 4437.000000
0.020000 	 3648.000000
0.030000 	 2890.000000
0.040000 	 2436.000000
0.050000 	 1920.000000
0.060000 	 1588.000000
0.070000 	 1357.000000
0.080000 	 1085.000000
0.090000 	 902.000000
0.100000 	 750.000000
0.110000 	 614.000000
0.120000 	 497.000000
0.130000 	 411.000000
0.140000 	 368.000000
0.150000 	 296.000000
0.160000 	 207.000000
0.170000 	 173.000000
0.180000 	 158.000000
0.190000 	 128.000000
0.200000 	 100.000000
0.210000 	 77.000000
0.220000 	 71.000000
0.230000 	 66.000000
0.240000 	 44.000000
0.250000 	 40.000000
0.260000 	 26.000000
0.270000 	 27.000000
0.280000 	 18.000000
0.290000 	 18.000000
0.300000 	 16.000000
0.310000 	 9.000000
0.320000 	 4.000000
0.330000 	 9.000000
0.340000 	 6.000000
0.350000 	 5.000000
0.360000 	 4.000000
0.370000 	 4.000000
0.380000 	 4.000000
0.390000 	 5.000000
0.400000 	 1.000000
0.420000 	 1.000000
0.430000 	 1.000000
0.450000 	 1.000000
0.460000 	 1.000000
0.500000 	 2.000000
0.520000 	 1.000000
0.540000 	 1.000000
0.550000 	 1.000000
0.590000 	 1.000000
